All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Cerro Gordo,2,9,1182182.56,1090388.38,91794.18,379670,287875.69,91794.31,29052.8,24463.09,4589.71
Champaign,63,286,197517568.4,181454256.6,16063311.81,67868361.95,51804856.2,16063505.75,5034426.63,4231249.16,803177.47
Champaign County,6,27,18292324.19,16815455.88,1476868.31,6006688,4529828.56,1476859.44,462526.99,388683.83,73843.16
Chandlerville,3,10,1939238.31,1764378.39,174859.92,689359,514499.12,174859.88,54816.49,46073.46,8743.03
Channahon,8,39,24570664.97,22442366.75,2128298.22,7989046,5860715.97,2128330.03,667778.26,561361.43,106416.83
Chapin,1,5,1331928.93,1229745.82,102183.11,417113,314929.89,102183.11,31893.97,26784.76,5109.21
Charleston,22,96,40260885.63,37167136.07,3093749.56,12247758,9153836.64,3093921.36,972302.81,817606.36,154696.45
Chatham,11,52,23651743.36,21863734.01,1788009.35,7345746,5557765.74,1787980.26,560623.87,471224.69,89399.18
Chatsworth,2,9,1959566.03,1801351.89,158214.14,634206,475991.86,158214.14,49354.19,41443.43,7910.76
Chebanse,4,17,2733799.64,2511348.09,222451.55,925667,703215.38,222451.62,69565.89,58443.22,11122.67
Chenoa,4,20,10148496.19,9314057.05,834439.14,3182701,2348269.42,834431.58,261827.15,220105.51,41721.64
Cherry,1,5,667261.82,617546.17,49715.65,168468,118752.19,49715.81,15673.45,13187.68,2485.77
Cherry Valley,13,65,41040027.89,37742162.6,3297865.29,13169810,9871771.46,3298038.54,1035809.34,870907.12,164902.22
Chester,12,54,26330288.06,24213030.85,2117257.21,8339699,6222438.17,2117260.83,663226.53,557363.12,105863.41
Chesterfield,1,5,1325746.01,1209632.24,116113.77,393630,277510.17,116119.83,36552.04,30746.03,5806.01
Chicago Heights,18,87,54974507.4,50393157.89,4581349.51,19318342,14736783.01,4581558.99,1439283.39,1210204.86,229078.53
Chicago Ridge,25,120,64259966.81,58914002.42,5345964.39,20349719,15003704.97,5346014.03,1680343.5,1413042.13,267301.37
Chillicothe,15,71,30577698.18,28222119.6,2355578.58,9886072,7530324.72,2355747.28,737237.57,619449.62,117787.95
Christian County,4,14,4643679.86,4214999.48,428680.38,1457854,1029173.25,428680.75,134833.44,113399.24,21434.2
Christopher,8,34,14342818.25,13223762.96,1119055.29,4072880,2953823.98,1119056.02,350966.35,295013.43,55952.92
Cicero,49,229,186922453.7,170943308.1,15979145.57,65689974,49710480.87,15979493.13,5015591.05,4216614.62,798976.43
Cisne,2,10,2587363.6,2375883.9,211479.7,760892,549412.3,211479.7,65810.49,55236.38,10574.11
Cissna Park,1,3,555155.02,519163.12,35991.9,181241,145247.89,35993.11,11357.91,9558.22,1799.69
Claremont,1,4,841963.82,773150.73,68813.09,331387,262573.91,68813.09,21565.94,18125.25,3440.69
Clark County,3,9,2203531.97,2009807.89,193724.08,706192,512467.53,193724.47,60931.4,51245.18,9686.22
Clay City,2,8,3819840.19,3508236.76,311603.43,1043798,732194.51,311603.49,97580.92,82000.7,15580.22
Clay County,1,3,305860.07,281072.24,24787.83,96259,71471.17,24787.83,7708.11,6468.7,1239.41
Clayton,1,4,675732.12,618109.1,57623.02,238314,180690.98,57623.02,18159.1,15277.94,2881.16
Clifton,4,17,4273292.69,3918403.3,354889.39,1410120,1055230.31,354889.69,111222.8,93478.28,17744.52
Clinton,13,65,36604872.35,33724403.98,2880468.37,12036613,9156070.39,2880542.61,903588.18,759560.63,144027.55
Clinton County,9,42,12370937.99,11349734.26,1021203.73,4076064,3054846.07,1021217.93,320653.48,269592.38,51061.1
Coal City,7,30,13526216.64,12397091.7,1129124.94,4373841,3244592.43,1129248.57,353731.9,297269.24,56462.66
Coal Valley,6,26,4530600.6,4120840.43,409760.17,1546504,1136743.67,409760.33,128830.99,108342.79,20488.2
Coalton,1,4,1741126.46,1608994.14,132132.32,567408,435275.61,132132.39,41411.98,34805.34,6606.64
Cobden,1,4,1670869.96,1538425.47,132444.49,387803,255358.62,132444.38,41333.46,34711.24,6622.22
Coles County,1,5,403601.99,366582.32,37019.67,109426,72406.33,37019.67,11681.78,9830.8,1850.98
Colfax,2,7,1479488.65,1348270.83,131217.82,446573.7,315355.88,131217.82,41089.45,34528.55,6560.9
Collinsville,19,83,42227373.77,38820834.63,3406539.14,12926298,9519739.34,3406558.66,1070278.47,899949.98,170328.49
Colona,7,32,8328346.71,7563969.87,764376.84,2660866,1896487.01,764378.99,240456.68,202237.61,38219.07
Colp,1,5,565941.57,512955.93,52985.64,182272,129286.34,52985.66,17450.44,14801.15,2649.29
Columbia,10,44,24712784.48,22815852.53,1896931.95,7244138,5347127.4,1897010.6,595473.25,500622.5,94850.75
Compton,1,3,813063.48,748882.53,64180.95,256250,192068.45,64181.55,19933.1,16724.02,3209.08
Cook County,19,97,48116813.16,44015814.46,4100998.7,16696019,12594875.49,4101143.51,1302138.86,1097081.31,205057.55
Cooksville,1,5,1829379.15,1694906.53,134472.62,556618,422145.7,134472.3,42140.99,35417.31,6723.68
Cordova,2,10,3007207.76,2776362.22,230845.54,843238,612393.18,230844.82,72256.85,60714.55,11542.3
Cortland,1,5,2455346.87,2275520.79,179826.08,786585,606758.92,179826.08,56536.58,47545.25,8991.33
Coulterville,4,20,15836073.95,14634331.12,1201742.83,4999366,3797485.77,1201880.23,376799.85,316705.68,60094.17
Country Club Hills,7,32,12115277.19,11092967.54,1022309.65,4315438,3293128.31,1022309.69,320354.9,269239.15,51115.75
Countryside,21,93,69531405.65,64057103.47,5474302.18,21577340,16102366,5474974,1714868.23,1441118.97,273749.26
Crainville,1,5,3053397.26,2797709.75,255687.51,990087,734399.49,255687.51,80842.02,68057.61,12784.41
Crawford County,1,5,1479691.71,1380587.05,99104.66,427509,328404.34,99104.66,31353.44,26398.19,4955.25
Creal Springs,1,4,643562.23,593338.03,50224.2,163833,113607.8,50225.2,15703.41,13192.12,2511.29
Crescent City,2,8,1140503.58,1043007.09,97496.49,362551,265054.57,97496.43,30588.35,25713.49,4874.86
Crest Hill,18,81,39275224.14,36091883.02,3183341.12,12606430,9423075.31,3183354.69,998762.04,839593.86,159168.18
Crestwood,36,179,111098691.9,102001309.8,9097382.09,36639026.52,27541378.62,9097647.9,2855462.89,2400579.48,454883.41
Crete,17,77,35440340.83,32457686.13,2982654.7,11986136,9003435.16,2982700.84,938182.57,789047.05,149135.52
Creve Coeur,12,56,23931161.19,21957736.82,1973424.37,7662972,5689480.29,1973491.71,620403.01,521728.13,98674.88
Crystal Lake,16,46,26830897.8,24476958.91,2353938.89,9241129,6887188.17,2353940.83,738416.46,620719,117697.46
Cuba,3,14,3482798.66,3218579.09,264219.57,1074928,810688.43,264239.57,82230.31,69018.21,13212.1
Cullom,1,5,965218.46,903509.47,61708.99,250926,189217.01,61708.99,19390.61,16305.12,3085.49
Cumberland County,2,8,1230227.18,1112938.31,117288.87,464060,346771.39,117288.61,37032.24,31167.78,5864.46
Curran,1,5,1461710.68,1336158.88,125551.8,475834,350282.57,125551.43,39372.34,33094.74,6277.6
Cypress,1,4,582666.31,532436.69,50229.62,135944,85838.23,50105.77,15664.95,13159.63,2505.32
Dakota,1,5,1189139.75,1073687.58,115452.17,450094,334641.83,115452.17,36026.79,30254.17,5772.62
Dallas City,2,6,2717286.67,2483931.56,233355.11,674121,440765.81,233355.19,72858.65,61190.88,11667.77
Dalton City,2,9,3444329.18,3174472.26,269856.92,1219780,949922.21,269857.79,84746.22,71253.31,13492.91
Damiansville,1,5,985556.34,909332.9,76223.44,342486,266262.69,76223.31,23901.48,20090.31,3811.17
Danvers,1,3,1627195.04,1504637.59,122557.45,465006,342448.35,122557.65,38388.47,32260.54,6127.93
Danville,29,133,67683564.61,61965461.56,5718103.05,21632681,15914432.39,5718248.61,1789842.59,1503929.41,285913.18
Darien,9,43,46916744.5,42917213.69,3999530.81,14432899,10433343.76,3999555.24,1256699.9,1056703.81,199996.09
Davis,2,8,2031497.53,1879396.85,152100.68,671440,519338.88,152101.12,47553.59,39948.48,7605.11
Davis Junction,3,15,6465938.47,5942106.55,523831.92,2070202,1546369.37,523832.63,163827.58,137635.87,26191.71
Dawson,2,6,1853517.94,1735143.56,118374.38,602276,483901.65,118374.35,36924.55,31005.76,5918.79
De Witt,2,10,3861507.51,3570956.17,290551.34,1231188,940636.72,290551.28,91053.15,76525.46,14527.69
Decatur,89,434,343398373.8,314290434.4,29107939.44,114413395,85305119.19,29108275.81,9126386.01,7670969.26,1455416.75
Deer Creek,2,9,2916841.54,2692741.92,224099.62,907556,683456.13,224099.87,70227.17,59022.11,11205.06
Deer Grove,1,5,256155.2,232018.9,24136.3,93329,69192.68,24136.32,7844.65,6637.83,1206.82
