All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Petersburg,5,22,10722209.08,9882344.05,839865.03,3268940,2429094.69,839845.31,263443.81,221451.31,41992.5
Philo,3,14,5789392.95,5324185.43,465207.52,1985425,1520217.32,465207.68,146180.84,122920.4,23260.44
Phoenix,2,6,7293114.31,6686854.59,606259.72,2720838,2114578.21,606259.79,189345.84,159032.79,30313.05
Pierron,3,12,3090202.8,2829317.53,260885.27,984603,723717.17,260885.83,81158.28,68113.91,13044.37
Pike County,2,10,8718599.48,8047147.91,671451.57,2423342,1751890.43,671451.57,211078.11,177505.43,33572.68
Pinckneyville,7,33,13741393.63,12670127.65,1071265.98,4450513,3379200.88,1071312.12,336879.48,283313.67,53565.81
Pingree Grove,3,15,13773743.55,12707712.38,1066031.17,4374018,3307986.27,1066031.73,333005.17,279703.48,53301.69
Piper City,3,15,2779043.55,2581517.21,197526.34,1024389,826862.57,197526.43,62045.28,52168.95,9876.33
Pittsburg,1,5,2312598.27,2099814.74,212783.53,761460,548676.47,212783.53,66614.24,55975.04,10639.2
Pittsfield,8,40,15501096.45,14302644.35,1198452.1,4776283,3577804,1198479,376380.59,316456.35,59924.24
Plano,12,53,23207613.86,21220541.39,1987072.47,7398285,5411144.28,1987140.72,624335.6,524978.31,99357.29
Pleasant Plains,2,10,3179613.24,2906349.7,273263.54,1048274,775006.76,273267.24,85940.36,72276.91,13663.45
Plymouth,1,5,1696706.18,1561532.67,135173.51,491624,356450.49,135173.51,42355.17,35596.46,6758.71
Pocahontas,6,26,8243950.3,7587861.12,656089.18,2673348,2017258.23,656089.77,206040.68,173236.16,32804.52
Polo,3,13,4207981.29,3842084.91,365896.38,1420053,1054156.43,365896.57,114482.51,96187.61,18294.9
Pontiac,21,103,51502019.95,47427433.77,4074586.18,16896260,12821497.68,4074762.32,1279333.66,1075594.73,203738.93
Pontoon Beach,9,43,49861483.03,45658441.31,4203041.72,14861575,10658539.62,4203035.38,1318213.72,1108061.66,210152.06
Pope County,2,7,1354790.24,1252832.5,101957.74,389334,287375.93,101958.07,31867.36,26769.49,5097.87
Poplar Grove,9,41,19578342.49,18031598.29,1546744.2,6726359,5179607.47,1546751.53,485859.89,408522,77337.89
Port Barrington,3,15,5463490.34,4974285.88,489204.46,2012961,1523756.86,489204.14,154236.63,129776.3,24460.33
Port Byron,3,15,4620681.08,4253942.39,366738.69,1158975,792236.89,366738.11,115116.69,96779.71,18336.98
Posen,9,45,26406470.83,24176917.05,2229553.78,9330167,7100611.21,2229555.79,700611.75,589133.58,111478.17
Potomac,1,5,1893433.81,1746817.75,146616.06,636983,490367.01,146615.99,46555.58,39224.73,7330.85
Prairie Du Rocher,2,10,4257544.03,3923909.14,333634.89,1395388,1061722.11,333665.89,104805.53,88122.17,16683.36
Prairie Grove,2,9,4700450.92,4319740.54,380710.38,1555403,1174692.86,380710.14,119188.61,100153.02,19035.59
Princeton,17,74,31714643.35,29149617.47,2565025.88,9921926,7356507.22,2565418.78,803514.8,675243.42,128271.38
Princeville,2,9,3028553.34,2786273.61,242279.73,1072576,830266.32,242309.68,75923.38,63807.84,12115.54
Prophetstown,5,25,3325093.42,3044752.83,280340.59,1013716,733370.67,280345.33,88971.17,74953.86,14017.31
Prospect Heights,13,62,66521759.92,61083333.4,5438426.52,21595611,16157081.19,5438529.81,1701524.72,1429597.38,271927.34
Pulaski,1,5,1299147.18,1198247.44,100899.74,416794,315894.26,100899.74,31620.94,26575.94,5045
Pulaski County,4,19,6322796.93,5818342.71,504454.22,2114481,1610021.55,504459.45,158618.08,133395.04,25223.04
Putnam County,2,8,337657.84,318084.34,19573.5,125615,106041.34,19573.66,5642.33,4783.61,858.72
Quincy,76,240,127409170.2,116437609.8,10971560.41,38159603,27187829.87,10971773.13,3440310.68,2891720.52,548590.16
Ramsey,3,13,4099972.76,3725089.11,374883.65,1299683,924799.35,374883.65,118881.01,100136.77,18744.24
Randolph County,5,23,8275592.22,7647592.43,627999.79,2565098,1936992.65,628105.35,197299.89,165894.44,31405.45
Rankin,2,6,721789.85,662529.8,59260.05,241091,181810.85,59280.15,18549.44,15585.4,2964.04
Ransom,1,5,1488631.01,1360172.87,128458.14,466217,337758.86,128458.14,40411.12,33988.16,6422.96
Rantoul,18,87,41758566.58,38292457.23,3466109.35,13894026,10427771.2,3466254.8,1085758.13,912444.73,173313.4
Raymond,2,10,2891587.24,2665965.27,225621.97,782917,557294.78,225622.22,70468.82,59187.68,11281.14
Red Bud,9,39,12051302.6,11085114.86,966187.74,3779415,2813121.93,966293.07,304522.03,256207.23,48314.8
Reddick,1,3,706988.13,649557.5,57430.63,207169,149738.21,57430.79,18024.38,15152.82,2871.56
Reynolds,1,3,1048791.67,982963.46,65828.21,306830,241001.73,65828.27,20614.39,17322.95,3291.44
Richland County,2,7,435200.73,402098.71,33102.02,150609,117506.83,33102.17,10626.48,8971.39,1655.09
Richmond,15,69,33357801.49,30683068.78,2674732.71,11189185,8514321.38,2674863.62,840112.09,706368.52,133743.57
Richton Park,7,30,12375933.73,11370955.75,1004977.98,4436766,3431731.44,1005034.56,314044.73,263792.86,50251.87
Ridge Farm,2,8,1939890.51,1783575.24,156315.27,686686,530370.73,156315.27,48750.21,40934.42,7815.79
Ridgway,2,9,4237811.07,3952086.08,285724.99,970504,684779.57,285724.43,89137.75,74851.49,14286.26
Ringwood,2,10,4281432.52,3918262.88,363169.64,1532068,1168886.27,363181.73,113512.91,95353.78,18159.13
River Grove,16,79,54300852.25,49679158.23,4621694.02,17223844,12602146.77,4621697.23,1450612.25,1219526.92,231085.33
Riverdale,3,15,3479524.06,3178490.57,301033.49,1292864,991830.47,301033.53,93365.58,78313.84,15051.74
Riverton,5,25,12682214.75,11723032.54,959182.21,3963362,3004175.5,959186.5,300716.19,252756.69,47959.5
Roanoke,3,9,1876254.29,1719140.09,157114.2,567171,410061.83,157109.17,49181.53,41326.06,7855.47
Robbins,3,13,4846766.78,4403997.3,442769.48,1838929,1396159.04,442769.96,138515.64,116377.07,22138.57
Roberts,3,11,1845734.66,1684536.77,161197.89,601813,440614.72,161198.28,50701.07,42641.1,8059.97
Robinson,10,47,17638060.56,16119701.4,1518359.16,5639124,4120729.52,1518394.48,476495.15,400575.14,75920.01
Rochelle,15,68,34179352.85,31373134.37,2806218.48,10868922,8062749.23,2806172.77,879350.42,739041.39,140309.03
Rochester,5,20,8374115.99,7727962.25,646153.74,2851442,2205282.98,646159.02,203710.4,171402.3,32308.1
Rock City,1,5,2194731.63,2015802.15,178929.48,887262,708332.68,178929.32,55967.88,47021.36,8946.52
Rock Falls,23,111,54726921.59,50123872.6,4603048.99,18519464,13916356.72,4603107.28,1443304.84,1213148.62,230156.22
Rock Island,21,90,39626827.99,36065095.83,3561732.16,11737836,8176027.18,3561808.82,1116144,938053.05,178090.95
Rock Island County,4,15,6462322.95,5912874.21,549448.74,1983050,1433600.66,549449.34,172312.1,144839.59,27472.51
Rockdale,7,28,9434019.76,8595333.61,838686.15,3007356,2168668.85,838687.15,262444.28,220509.74,41934.54
Rockford,102,487,384283576.7,352185661,32097915.68,127701434,95602263.48,32099170.52,10050217.86,8445256.12,1604961.74
Rockton,8,35,13153368.61,12023747.7,1129620.91,4406980,3277214.43,1129765.57,355206.14,298717.61,56488.53
Rolling Meadows,6,30,14438694.96,13203163.86,1235531.1,4816298,3580564.76,1235733.24,393801.67,332014.87,61786.8
Romeoville,18,83,63697411.79,58406890.69,5290521.1,19974789,14684220.94,5290568.06,1656822.81,1392293.77,264529.04
Roodhouse,4,18,6555521.17,6013374.43,542146.74,1969540,1427393.03,542146.97,169421.3,142313.86,27107.44
Roscoe,20,97,80129987.4,73368342.4,6761645,25470594,18708588.83,6762005.17,2121276.18,1783175.21,338100.97
Roselle,12,60,49771354.92,45743691.64,4027663.28,16211950,12184086.43,4027863.57,1262100.95,1060707.29,201393.66
Roseville,3,13,1437560.47,1314958.84,122601.63,439926,317324.37,122601.63,38563.57,32433.45,6130.12
Rosiclare,1,5,1145892.9,1049145.92,96746.98,308620,211873.32,96746.68,30294.52,25457.14,4837.38
Rossville,1,3,129144.83,114483.35,14661.48,52002,37340.52,14661.48,4575.87,3842.81,733.06
Round Lake,9,45,30999093.03,28438832.74,2560260.29,10064429,7504168.59,2560260.41,802594.3,674580.99,128013.31
Round Lake Beach,15,70,64938109.97,59580484.45,5357625.52,21631381,16273604.68,5357776.32,1680119.99,1412230.53,267889.46
Round Lake Heights,3,15,16783910.54,15448536.63,1335373.91,5544841,4209070.18,1335770.82,418650.84,351862.22,66788.62
Round Lake Park,5,25,10036009.59,9137307.38,898702.21,3327687,2428906.49,898780.51,281969.45,237030.24,44939.21
Royal,1,3,455199.14,413937.44,41261.7,161410,120148.3,41261.7,13089.84,11026.76,2063.08
Royalton,3,13,2484365.45,2263701.13,220664.32,724936,504271.55,220664.45,68065.53,57032.2,11033.33
Ruma,2,6,779497.58,719700.29,59797.29,241287,181489.19,59797.81,18614.21,15624.27,2989.94
Rushville,6,24,8170208.77,7531910.35,638298.42,2434792,1796518.3,638273.7,200451.05,168537.2,31913.85
Russellville,1,3,248915.72,227483.13,21432.59,71253,49820.41,21432.59,6796.96,5725.33,1071.63
Rutland,1,5,154528.26,141714.33,12813.93,53444,40630.07,12813.93,4228.46,3587.79,640.67
Sadorus,2,9,2210738.21,2025530.16,185208.05,723868,538659.95,185208.05,58344.01,49083.59,9260.42
Saint Elmo,1,2,28542.13,26631.15,1910.98,8076,6165.02,1910.98,528.24,448.07,80.17
Sainte Marie,3,9,2781236.84,2561674.5,219562.34,850767,631199.58,219567.42,68663.16,57684.77,10978.39
Salem,19,92,42860482.88,39644418.19,3216064.69,12808966,9592844.16,3216121.84,1006879.23,846072.45,160806.78
Sandoval,7,33,7730429.95,7163177.82,567252.13,2363343,1796089.23,567253.77,176841.76,148478.97,28362.79
Sandwich,13,61,20341521.93,18639778.47,1701743.46,6446547,4744554.69,1701992.31,533439.32,448339.45,85099.87
Sangamon County,42,207,137755900.1,126510999.8,11244900.24,46397730,35152494.94,11245235.06,3527942.24,2965679.08,562263.16
Sauget,5,22,23405568.58,21560526.69,1845041.89,6588060,4742342.15,1845717.85,581104.18,488818.19,92285.99
Sauk Village,8,40,10247844.49,9408583.91,839260.58,3648081,2807993.32,840087.68,266936.85,224932.37,42004.48
Saunemin,2,9,2564454.85,2358752.31,205702.54,1089433,883730.46,205702.54,64656.21,54371,10285.21
Savanna,14,52,18765480.93,17162630.12,1602850.81,5346421,3743560.77,1602860.23,502930.99,422787.68,80143.31
Savoy,6,27,20926279.24,19289814.46,1636464.78,7077173,5440701.18,1636471.82,514165.09,432341.32,81823.77
Sawyerville,2,8,3247714.49,2968653.45,279061.04,1088286,809225.18,279060.82,88200.82,74247.74,13953.08
Saybrook,1,4,785240.82,718417.41,66823.41,219047,152223.59,66823.41,20931.14,17589.91,3341.23
Scales Mound,1,4,1363450.24,1248341.06,115109.18,435479,320369.55,115109.45,36273.72,30518.25,5755.47
Schiller Park,11,52,27445241.58,25006873.67,2438367.91,8734423,6295973.43,2438449.57,766147.46,644224.58,121922.88
Schram City,6,25,6605636.64,6027753.77,577882.87,2120975,1543091.88,577883.12,181269.59,152375.3,28894.29
Scott County,1,4,403126.77,373774.64,29352.13,138895,109543.05,29351.95,9129.59,7662.95,1466.64
Seneca,10,44,10946767.55,10067546.47,879221.08,3642458,2763158.36,879299.64,276735.24,232770.14,43965.1
Sesser,6,26,7675276.9,7063906.31,611370.59,2407086,1795642.97,611443.03,191401.8,160829.59,30572.21
Shabbona,2,8,3787851.47,3507728.34,280123.13,1088131,807980.42,280150.58,87365.14,73357.51,14007.63
Shannon,1,3,1225719.8,1132546.7,93173.1,443672,350498.9,93173.1,29426.5,24767.76,4658.74
Shawneetown,3,13,2076491.58,1932408.94,144082.64,542405,398322.19,144082.81,45328.67,38124.47,7204.2
Sheffield,2,5,1106992.85,1012351.13,94641.72,338484,243789.59,94694.41,29527.7,24792.96,4734.74
Shelby County,1,3,2622.91,2253.36,369.55,1068,698.45,369.55,121.95,103.47,18.48
Shelbyville,8,37,18184080.88,16631737.86,1552343.02,5531685,3979338.06,1552346.94,487845.64,410228.11,77617.53
Sheldon,2,8,2107002.71,1938479.95,168522.76,646043,477356.43,168686.57,52773.6,44339.23,8434.37
Sheridan,3,13,5226604.75,4806305.74,420299.01,1727882,1307582.89,420299.11,131472.2,110457.14,21015.06
Sherman,5,19,12569634.64,11655473.58,914161.06,3997889,3083706.61,914182.39,287097.9,241388.66,45709.24
Sherrard,2,8,1286313.36,1179269.84,107043.52,414343,307299.21,107043.79,33749.18,28396.98,5352.2
Shiloh,5,25,22508369.88,20605725.18,1902644.7,6893197,4990365.21,1902831.79,599105.87,503964.05,95141.82
Shipman,2,8,1277168.51,1165528.18,111640.33,392125,280484.62,111640.38,34884.76,29302.7,5582.06
Shorewood,6,29,8813940.55,8049577.42,764363.13,3182702,2418338.67,764363.33,241208.66,202990.34,38218.32
Sibley,1,4,919012.48,848632.92,70379.56,297288,226908.44,70379.56,22125.26,18606.25,3519.01
Sidell,2,8,1047391.35,958054.7,89336.65,291057,201720.1,89336.9,28067.93,23601.02,4466.91
Sidney,1,5,2382754.96,2203569.33,179185.63,773987,594801.32,179185.68,55967.42,47008.11,8959.31
Sigel,1,5,1703043.85,1579623.69,123420.16,550691,427270.74,123420.26,38724.03,32552.98,6171.05
Silvis,10,47,23697874.22,21644211.21,2053663.01,6996875,4943203.81,2053671.19,643542.06,540858.26,102683.8
Sleepy Hollow,2,10,4020301.01,3677490.23,342810.78,1615454,1272643.15,342810.85,107758.52,90617.95,17140.57
Smithton,6,30,14453740.01,13327940.19,1125799.82,4122815,2997014.58,1125800.42,353444.59,297154.41,56290.18
Somonauk,3,15,7101903.6,6519109.49,582794.11,2149297,1566382.32,582914.68,183273.98,154128.16,29145.82
South Beloit,15,75,73237925.33,67124089.87,6113835.46,23039158,16925457.19,6113700.81,1916525.45,1610839.67,305685.78
South Chicago Heights,8,39,20147880.75,18418560.67,1729320.08,6718690,4989369.25,1729320.75,542465.26,455998.85,86466.41
South Elgin,19,92,69217013.88,63324890.36,5892123.52,21578217,15686007.1,5892209.9,1848758.66,1554147.52,294611.14
South Jacksonville,10,49,25577331.14,23441159.74,2136171.4,7781544,5645372.35,2136171.65,667760.36,560951.52,106808.84
South Pekin,2,8,1050346.02,949354.26,100991.76,318883,217891.46,100991.54,32882.29,27832.7,5049.59
South Roxana,4,18,5314349.96,4881644.3,432705.66,1626942,1194221.99,432720.01,135375.98,113739.84,21636.14
South Wilmington,2,10,1675919.01,1527731.96,148187.05,603497,455309.23,148187.77,46594.27,39184.9,7409.37
Southern View,10,50,32685568.46,30091235.4,2594333.06,11208687,8614307.63,2594379.37,815989.89,686270.57,129719.32
Sparta,7,30,15093622.45,13912736.5,1180885.95,4710568,3529663.73,1180904.27,369737.67,310692.16,59045.51
Spaulding,2,10,5581860.52,5143611.43,438249.09,1753403,1315153.28,438249.72,137729.83,115817.31,21912.52
Spring Grove,8,39,15615203.49,14341591.74,1273611.75,5154025,3880384.15,1273640.85,398676.84,334994.56,63682.28
Spring Valley,11,51,17857925.01,16449084.41,1408840.6,5880823,4471960.01,1408862.99,441470.19,371026.81,70443.38
Springfield,139,646,384548292.9,352902572.5,31645720.35,130384792,98738479.74,31646312.26,9914506.46,8332186.09,1582320.37
St. Anne,2,7,1531123.41,1398097.73,133025.68,458472,325446.15,133025.85,41641.29,34989.96,6651.33
St. Augustine,2,8,1221618.3,1131470.49,90147.81,394059,303910.88,90148.12,28378.95,23871.53,4507.42
St. Charles,17,79,35715649.18,32837317.02,2878332.16,11341363,8462820.44,2878542.56,902451.78,758524.13,143927.65
St. Clair County,22,100,51058228.47,46946803.24,4111425.23,15907114,11795336.5,4111777.5,1289283.98,1083694.55,205589.43
St. David,2,6,1895530.57,1756237.72,139292.85,580161,440867.94,139293.06,43938.81,36974.16,6964.65
St. Francisville,1,3,757371.62,704949.96,52421.66,180966,128544.25,52421.75,16561.27,13940.17,2621.1
St. Jacob,1,5,1085063.79,1015010.35,70053.44,354711,284657.56,70053.44,21760.55,18257.84,3502.71
St. Johns,2,7,3456762.44,3221421.81,235340.63,1014840,779499.18,235340.82,73581.84,61814.79,11767.05
St. Joseph,1,4,2833960.25,2599443.38,234516.87,861875,627353.61,234521.39,73133.12,61407.01,11726.11
St. Libory,1,5,2471238.55,2283533.68,187704.87,813119,625347.63,187771.37,58577.08,49188.45,9388.63
St. Peter,2,6,1863704.89,1728186.69,135518.2,535195,399677,135518,42286.92,35510.98,6775.94
St. Rose,2,8,543797.3,493898.98,49898.32,156748,106849.68,49898.32,15924.31,13429.35,2494.96
Standard,1,3,691494.79,638248.86,53245.93,175489,122243.07,53245.93,16686.37,14024.03,2662.34
Stanford,1,3,788537.84,726415.46,62122.38,255123,193000.62,62122.38,19710.72,16604.6,3106.12
Stark County,1,3,853021.58,792038.88,60982.7,241171,180188.27,60982.73,19081.9,16032.76,3049.14
Staunton,10,48,16483228.24,15110073.57,1373154.67,5151212,3777816.34,1373395.66,431751.3,363081.36,68669.94
Steeleville,5,25,12959967.76,12048215.27,911752.49,4024215,3112352.32,911862.68,286483.87,240890.57,45593.3
Steger,12,57,37330666.03,34326057.91,3004608.12,12716259,9711560.28,3004698.72,941953.75,791718.38,150235.37
Stephenson County,11,49,28995615.15,26364161.5,2631453.65,10129349,7497878.33,2631470.67,823228.53,691654.57,131573.96
Sterling,22,104,50205044.04,45839235.79,4365808.25,16427093.05,12060946.22,4366146.83,1369303.83,1150995.85,218307.98
Steward,1,2,986039.61,905980.85,80058.76,240684,160625.24,80058.76,24927.05,20924.09,4002.96
Stewardson,1,5,1354754.66,1255023.17,99731.49,462391,362659.41,99731.59,31494.58,26507.98,4986.6
Stickney,6,30,15565904.95,14217336.04,1348568.91,5080600,3731959.09,1348640.91,425286.05,357853.82,67432.23
Stillman Valley,5,24,10149299.2,9359521.03,789778.17,3502555,2712776.58,789778.42,247518.34,208029.24,39489.1
Stockton,6,30,14910569.23,13694196.48,1216372.75,4553633,3337234.28,1216398.72,380919.34,320099.27,60820.07
Stone Park,12,57,29475082.72,26834494.61,2640588.11,9648419,7007824.98,2640594.02,827825.58,695795.58,132030
Stonington,1,5,1104158.88,1019905.38,84253.5,374570,290316.5,84253.5,26473.94,22261.25,4212.69
Strasburg,2,8,2050121.75,1879282.95,170838.8,624477,453638.5,170838.5,53396.03,44854.09,8541.94
Strawn,1,4,858214.68,788631.66,69583.02,304835,235251.98,69583.02,21887.77,18408.58,3479.19
Streamwood,17,84,51535330.14,47186910.65,4348419.49,16625995,12277555.71,4348439.29,1369332.23,1151909.79,217422.44
Streator,32,153,65497177.04,60238712.87,5258464.17,21363042,16104320.87,5258721.13,1647368.06,1384431.26,262936.8
Stronghurst,2,6,66703.45,62524.43,4179.02,21246,17066.98,4179.02,1379.06,1170.11,208.95
Sublette,4,13,2998903.17,2755825.38,243077.79,930900,687822.14,243077.86,76535.12,64381.18,12153.94
Sugar Grove,4,19,13221008.54,12198649.27,1022359.27,4193647,3171286.66,1022360.34,320708.9,269590.71,51118.19
Sullivan,7,32,8857091.6,8145259.38,711832.22,2615050,1903216.59,711833.41,223821.33,188229.49,35591.84
Summerfield,1,3,1278859.96,1177364.53,101495.43,382309,280813.57,101495.43,31860.57,26785.76,5074.81
Summit,27,133,89335729.92,81908706.88,7427023.04,29162956,21735875.93,7427080.07,2328800.38,1957445.34,371355.04
Swansea,13,64,42157470.06,38769412.4,3388057.66,13677951,10289610.03,3388340.97,1063934.71,894517.24,169417.47
Sycamore,16,74,33328562.45,30478250.52,2850311.93,11158181,8307828.97,2850352.03,892210.73,749692.63,142518.1
Symerton,1,3,805065.42,739991.94,65073.48,285061,219987.52,65073.48,20414.2,17160.51,3253.69
Table Grove,2,6,1001634.63,906088.31,95546.32,318357,222810.67,95546.33,30333.12,25555.82,4777.3
Tallula,1,5,2048601.05,1906701.91,141899.14,632785,490885.86,141899.14,44361.33,37266.37,7094.96
Tamaroa,3,14,3019966.72,2783040.82,236925.9,1005403,768477.31,236925.69,74834.44,62988.02,11846.42
Tampico,2,10,1854501.1,1691643.39,162857.71,603846,440246.94,163599.06,51562.08,43382.09,8179.99
Taylor Springs,2,8,1634325.04,1500160.55,134164.49,529557,395372.43,134184.57,42114.58,35405.37,6709.21
Taylorville,35,169,66775308.45,61202583.07,5572725.38,21283768,15710633.03,5573134.97,1749318.43,1470660.85,278657.58
Tazewell County,19,78,32130291.79,29561016.35,2569275.44,10559375,7990023.59,2569351.41,806178.13,677710.12,128468.01
Teutopolis,6,24,12373044.9,11404962.14,968082.76,4042959,3074868.29,968090.71,303431.83,255027.02,48404.81
Thayer,3,13,2748845.89,2495292.46,253553.43,959662,706106.49,253555.51,79469.48,66791.62,12677.86
Third Lake,3,11,5608457.73,5138092.46,470365.27,1767563,1297196.32,470366.68,147699.99,124181.54,23518.45
Thomasboro,1,5,1547930.76,1430375.06,117555.7,510769,393212.7,117556.3,36622.32,30744.45,5877.87
Thomson,1,5,710154.92,647117.5,63037.42,229218,166155.73,63062.27,19678.52,16525.38,3153.14
Thornton,2,10,6503730.94,5946877.2,556853.74,2244638,1687783.77,556854.23,174743.03,146900.25,27842.78
Tilden,1,5,2499915.52,2299500.46,200415.06,876171,675755.94,200415.06,62717.06,52696.31,10020.75
Tilton,9,44,40056992.8,36692143.29,3364849.51,12869485,9504339.65,3365145.35,1056361.21,888103.64,168257.57
Tinley Park,34,161,113001950.1,103903535.6,9098414.42,35382850,26284356.58,9098493.42,2849641.21,2394715.71,454925.5
Tiskilwa,2,8,1814261.62,1687934.63,126326.99,573282,446955.25,126326.75,39465.42,33149.07,6316.35
Toledo,2,10,3134278.83,2873815.23,260463.6,970690,710225.05,260464.95,81766.86,68743.53,13023.33
Tolono,5,23,8073209.15,7434017.3,639191.85,2627090,1987854.27,639235.73,200642.14,168680.18,31961.96
Toluca,5,23,3861860.18,3599853.5,262006.68,1154687,892679.85,262007.15,82115.54,69015.06,13100.48
Tonica,2,9,2869313.89,2654729.46,214584.43,966818,752233.53,214584.47,67271.79,56542.5,10729.29
Toulon,2,4,1133604.28,1045137.79,88466.49,359087,270619.41,88467.59,27729.64,23306.23,4423.41
Tovey,1,5,3103642.64,2896219.23,207423.41,954614,747190.59,207423.41,64517.05,54145.81,10371.24
Towanda,1,5,2208397.78,2060687.36,147710.42,657213,509502.58,147710.42,46279.44,38893.87,7385.57
Tremont,4,20,4336452.32,3999064.32,337388,1298791,961402.9,337388.1,105968.94,89099.46,16869.48
Trenton,2,10,4760192.09,4405372.38,354819.71,1437388,1082567.8,354820.2,110731.85,92990.73,17741.12
Troy,14,65,38868745.71,35535788.99,3332956.72,11356755,8023607.5,3333147.5,1045131.15,878473.61,166657.54
Troy Grove,2,6,857946.62,799397.71,58548.91,277996,219447.87,58548.13,18219.64,15292.19,2927.45
Tuscola,10,45,23356884.89,21545454.3,1811430.59,7053769,5242287.13,1811481.87,568862.02,478287.72,90574.3
Ullin,1,4,29664.44,27088.5,2575.94,8946,6370.06,2575.94,850.06,721.26,128.8
Union,4,16,2902660.53,2652325.12,250335.41,894349,644013.06,250335.94,79223.01,66706.15,12516.86
Union County,5,24,6012742.29,5529086.35,483655.94,1765341,1281684.96,483656.04,150404.49,126221.59,24182.9
University Park,4,18,11916334.89,10963028.07,953306.82,3975922,3022591.89,953330.11,298945.17,251278.53,47666.64
Urbana,22,106,81767135.19,75202513.72,6564621.47,28639587,22074907.73,6564679.27,2057055.34,1728820.68,328234.66
Ursa,2,6,1132973.59,1040476.5,92497.09,353374,260876.71,92497.29,28850.25,24225.36,4624.89
Valmeyer,1,3,526421.85,488881.87,37539.98,159992,122452.02,37539.98,11744.1,9867.05,1877.05
Vandalia,18,87,42948144.03,39523212.64,3424931.39,13314931,9889994.22,3424936.78,1071304.31,900056.8,171247.51
Venedy,1,5,775444.07,716931.17,58512.9,243358,184815.38,58542.62,18398.9,15471.76,2927.14
Venice,3,14,2167880.08,2002522.68,165357.4,734923,569545.48,165377.52,52122.04,43853.1,8268.94
Vermilion County,17,77,47320909.26,43396418.99,3924490.27,15174563,11250020.77,3924542.23,1233095.97,1036868.21,196227.76
Vermont,2,6,939334.88,856416.19,82918.69,309716,226797.41,82918.59,25882.04,21736.07,4145.97
Victoria,1,5,1502788.68,1379843.29,122945.39,483345,360363.88,122981.12,38580.64,32431.54,6149.1
Vienna,5,24,7074290.73,6478369.39,595921.34,1986396,1390473.69,595922.31,186244.55,156448.2,29796.35
Villa Grove,4,18,4615451.54,4214553.34,400898.2,1694416,1293515.26,400900.74,125775.74,105730.65,20045.09
Villa Park,19,92,89747833.67,82268178.09,7479655.58,28161160,20681451.15,7479708.85,2345241.42,1971255.28,373986.14
Viola,2,6,327215.81,303775.55,23440.26,98850,75409.39,23440.61,7364.74,6192.71,1172.03
Virden,5,22,9458987.03,8707262.66,751724.37,2779639,2027762.63,751876.37,236056.27,198462.31,37593.96
Virgil,1,3,815692.11,742517.14,73174.97,314211,241035.89,73175.11,23053.28,19394.53,3658.75
Virginia,6,24,8023382.31,7354311.93,669070.38,2526557,1857486.03,669070.97,209749.2,176295.45,33453.75
Wadsworth,11,55,83911047.67,76853773.81,7057273.86,27582541,20525252.41,7057288.59,2212411.06,1859546.24,352864.82
Walnut,4,15,4714058.18,4330950.98,383107.2,1480236,1097126.43,383109.57,119570.92,100415.37,19155.55
Walnut Hill,2,10,3842271.15,3536054.73,306216.42,1121327,815110.6,306216.4,95866.75,80555.86,15310.89
Waltonville,1,5,2844880.57,2640319.09,204561.48,840725,636163.52,204561.48,64061.55,53833.46,10228.09
Wamac,6,30,14692269.24,13516527.89,1175741.35,4185699,3009947.44,1175751.56,367760.13,308972.44,58787.69
Wapella,2,10,4103566.54,3776553.47,327013.07,1386715,1059701.18,327013.82,102350.27,85999.49,16350.78
Warren,4,19,4665291.75,4290395.76,374895.99,1519219,1144300.97,374918.03,118240.4,99494.48,18745.92
Warrensburg,1,5,1996220.82,1844990.34,151230.48,683835,532604.52,151230.48,47502.51,39940.94,7561.57
Warsaw,3,9,1158795.76,1058827.25,99968.51,300242,200273.65,99968.35,31499.26,26500.9,4998.36
Washburn,2,9,767617.19,700338.18,67279.01,251872,184592.86,67279.14,21203.73,17839.74,3363.99
Washington,8,36,15977615.19,14742290.96,1235324.23,5014551,3779205.44,1235345.56,386593.86,324826.21,61767.65
Washington County,3,12,2568138.59,2367871.86,200266.73,858179,657912.12,200266.88,62544.9,52531.49,10013.41
Washington Park,4,19,7785870.17,7162519.78,623350.39,2672658,2049214.47,623443.53,195369.47,164197.1,31172.37
Wataga,1,5,3157116.97,2888815.98,268300.99,1003014,734683.96,268330.04,84385.53,70968.98,13416.55
Waterloo,15,66,31624614.79,29034138.15,2590476.64,10054220,7463553.06,2590666.94,813456.9,683923.27,129533.63
Waterman,2,9,1520061.8,1379682.71,140379.09,555478,415098.68,140379.32,43827.66,36808.62,7019.04
Watseka,11,50,20846203.7,19081994.26,1764209.44,6928846,5164624.03,1764221.97,554699.19,466487.84,88211.35
Wauconda,18,89,50944930.71,46603253.37,4341677.34,15755369,11413485.13,4341883.87,1362530.25,1145435.43,217094.82
Waukegan,55,267,249547073.3,228053025,21494048.27,88064840,66569807.87,21495032.13,6741887.55,5667133.79,1074753.76
Waverly,5,25,7323557.41,6712166.72,611390.69,2473539,1862067.16,611471.84,191464.26,160890.52,30573.74
